Key,AR,Chinese Trad.,CZ,English(en),FR,DE,IN,HU,IT,JP,KR,MS,PL,PT,RO,RU,ES,TH,TR,VN
rate_us_description,إذا كنت تحب لعبتنا، يرجى إعطائها 5 نجوم!,"若喜歡我們的遊戲，
請給我們5星評分!","Pokud se ti naše hra líbí, dej nám 5 hvězdiček.","If you like our game, please give 5 stars! ","Si le jeu vous plaît, donnez-lui 5 étoiles ! ","Wenn dir unser Spiel gefällt, dann gib uns bitte 5 Sterne!","Jika menyukai gim ini, silakan beri nilai lima bintang!","Ha tetszik az alkalmazás, értékeld 5 csillagra!","Se ti piace il nostro gioco, ti andrebbe di lasciarci 5 stelle?",ゲームを気に入っていただけましたら、５つ星をお願いいたします。,"게임이 마음에 드셨다면
별 5개를 보내주세요!","Kalau anda suka permainan ini, sila berikan rating 5 bintang!","Jeśli podoba Ci się nasza gra, oceń ją na 5 gwiazdek!","Se gosta do nosso jogo, por favor, dê 5 estrelas!","Dacă îți place jocul nostru, acordă-ne 5 stele!","Если вам понравилась наша игра, поставьте 5 звезд!","Si te gusta nuestro juego, ¡por favor califícanos con 5 estrellas!",หากคุณชอบเกมของเรา โปรดให้คะแนน 5 ดาว!,Oyunumuzu beğendiyseniz lütfen 5 Yıldız verin!,"Nếu bạn yêu thích trò chơi của chúng tôi, hãy đánh giá 5 sao nhé!"
send,إرسال,送出,Odeslat,Send,Envoyer,Senden,Kirim,Kész,Invia,送信,보내기,Hantar,Wyślij,Enviar,Trimite,Отправить,Enviar,ส่ง,Gönder,Gửi
help_info_text_1,عند دمج أكثر من 2 كتلة بنفس الرقم، فإنه يصبح,當您結合超過2個相同數字的方塊時，它會變成：,"Když spojíte více než 2 bloky se stejným číslem, vznikne toto:","When you combine more than 2 blocks with the same number, it becomes:","Lorsque vous combinez plus de 2 blocs avec le même nombre, cela devient:","Wenn du mehr als 2 Blöcke mit derselben Zahl kombinierst, entsteht Folgendes:","Ketika Anda menggabungkan lebih dari 2 blok dengan angka yang sama, menjadi:","Ha több mint 2 blokkot egyesítesz ugyanolyan számmal, akkor ez lesz az eredmény:","Quando combini più di 2 blocchi con lo stesso numero, diventa:",同じ数字のブロックを2つ以上組み合わせると、次のようになります：,동일한 숫자의 2개 이상의 블록을 병합하면 다음과 같이 됩니다:,"Apabila anda menggabungkan lebih daripada 2 blok dengan nombor yang sama, ia akan menjadi:",Połączenie więcej niż 2 bloków o tej samej liczbie daje:,"Ao combinar mais de 2 blocos com o mesmo número, ele se torna:","Atunci când combinați mai mult de 2 blocuri cu același număr, rezultatul devine:","Когда вы объединяете более 2 блоков с одинаковым числом, получается:","Cuando combinas más de 2 bloques con el mismo número, se convierte en:",เมื่อคุณรวมบล็อกมากกว่า 2 บล็อกที่มีตัวเลขเดียวกัน จะกลายเป็น:,Daha fazla bloğu birleştirerek daha yüksek sayılar oluşturun.,"Khi bạn kết hợp hơn 2 khối có cùng số, nó sẽ trở thành:"
help_info_text_4,ضم رقمين متشابهين و رقم أعلى، سيصبح,將兩個相同數字的方格以及一個數字更大的方格結合：,Spojením 2 stejných čísel a 1 většího čísla dostaneš:,"Joining 2 same number blocks and 1 higher number block, it will become",Fusionnez deux chiffres identiques et un plus gros chiffre pour faire :,"Fusioniere zwei identische Zahlen und eine größere, und erhalte:",Merangkaikan dua blok berangka sama dengan satu blok berangka lebih tinggi akan menghasilkan,"Két megegyező számot összeköthetsz egy soron következő nagyobb számmal is, íme:","Unendo due tasselli con lo stesso numero con un numero maggiore, diventerà:",同数ブロック２つと大きな数のブロック１つを結合すると：,2개 이상의 동일한 숫자와 1개의 더 큰 숫자를 결합하면 다음과 같이 됩니다.,"Mencampurkan 2 blok nombor yang sama dan 1 blok nombor yang lebih tinggi, ia akan menjadi","Łącząc 2 pola z taką samą liczbą i 1 pole z wyższą liczbą, otrzymasz","Conectando 2 ou mais blocos de números iguais e 1 bloco de número maior, eles se tornarão:","Combinând două căsuțe cu numere egale și una cu un număr mai mare, va rezulta","Если соединить 2 одинаковых числа с большим числом, то получится ","Uniendo dos bloques de números iguales y un número mayor, será:",การรวมบล็อกเดียวกัน 2 อันและบล็อกตัวเลขสูงกว่า 1 อันเข้าด้วยกัน จะกลายเป็น,"2 aynı sayılı blok ve 1 daha yüksek sayılı bloğun birleştirilmesi,",Nối 2 ô số giống nhau và 1 ô số lớn hơn sẽ có được
help_info_text_2,الهدف هو إنشاء أكبر عدد ممكن من مكعبات الأرقام هو اللانهاية,目標是獲取最大數字：無限方格,"Cílem hry je vytvořit blok s největším číslem, jímž je nekonečno.",The goal is to create the highest number block possible wich is infinity,L’objectif est d’obtenir le bloc infini.,"Das Ziel ist, den größten Block zu produzieren, der im Spiel möglich ist, nämlich Unendlichkeit.","Hasilkan blok dengan angka setinggi mungkin, bahkan mencapai tak hingga","A játék célja, hogy elérd a lehető legnagyobb számot, vagyis a ""végtelent"".","L'obiettivo è creare il tassello con il maggior numero possibile, ossia infinito.",目標は、無限にある、できるだけ大きな数のブロックを作ること,"목표는 가능한 한 많이, 즉 무한으로 블록을 만드는 것입니다.",Matlamatnya adalah untuk mencipta blok nombor tertinggi yang mungkin iaitu infiniti,Celem gry jest stworzenie pola nieskończoności,"O objetivo é criar o bloco com o número mais alto possível que, no caso, é infinito.","Scopul este să creezi căsuța cu cel mai mare număr posibil, care este infinitul","Цель — создать кубик с наибольшим числом, который является бесконечностью","El objetivo es crear un bloque con el número mayor posible, el infinito",เป้าหมายคือการสร้างบล็อกตัวเลขให้สูงที่สุดซึ่งมีค่า/ไม่สิ้นสุด,"Amaç,mümkün olan en yüksek sayı bloğunu oluşturarak sonsuza ulaşmaktır.","Mục tiêu là tạo ra ô số có giá trị lớn nhất có thể, trong trường hợp này là vô cùng"
help_info_text_3,"
فيما يلي بعض الاختصارات",以下為參考數字縮寫：,Tady jsou některé zkratky.," 
Here are some of the abbreviations,"," 
Exemples d’abréviations :",Hier sind einige der Abkürzungen:,"Berikut ini beberapa singkatan penting untuk diketahui,",A rövidítések a következők:,Ecco alcune abbreviazioni:," 
いくつかの略語は、以下の通り","다음은 몇 가지 약어입니다,","Berikut adalah beberapa singkatan,",Oto niektóre skróty,Aqui estão algumas abreviações:,"Iată câteva prescurtări,",Сокращения:,Aquí están algunas de las abreviaturas:," 
นี่คือตัวย่อบางส่วน","İşte bazı kısaltmalar,","Dưới đây là một số thuật ngữ viết tắt,"
powerups,المساعدات,道具,BONUSY,POWERUPS,BONUS,POWERUPS,BANTUAN,SEGÍTSÉGEK,POTENZIAMENTI,パワーアップ,파워업,NAIK KUASA,WZMOCNIENIA,PODERES,SUPER-ABILITĂȚI,УСИЛИТЕЛИ,POTENCIADORES,พาวเวอร์อัป,GÜÇLENDİRİCİLER,VẬT HỖ TRỢ
powerup_tileswap_description,استبدل أي كرتين على اللوحة.,在棋盤上交換任意兩個球。,Vyměňte libovolné 2 míčky na desce.,Swap any 2 balls on the board.,Échangez n'importe quelles 2 balles sur le tableau.,Tauschen Sie beliebige 2 Bälle auf dem Brett aus.,Tukar 2 bola apa pun di papan.,Cserélj ki bármely 2 labdát a táblán.,Scambia 2 palline qualsiasi sulla tavola.,ボード上の任意の2つのボールを交換します。,보드에서 어떤 2개의 공이든 교환하세요.,Tukar mana-mana 2 bola di papan.,Zamień dowolne 2 piłki na planszy.,Troque qualquer 2 bolas no tabuleiro.,Schimbați orice 2 bile de pe tablă.,Поменяйте местами любые 2 шара на доске.,ntercambia cualquier 2 bolas en el tablero.,สลับลูกบอล 2 ลูกใดก็ได้บนกระดาน.,Tahtadaki herhangi 2 topun yerini değiştirin.,Đổi bất kỳ 2 quả bóng nào trên bảng.
powerup_hammer_description,احذف كرة على اللوحة.,摧毀棋盤上的一顆球。,Zničte míček na desce.,Destroy a ball on the board,Détruisez une balle sur le tableau.,Zerstöre eine Kugel auf dem Brett.,Hancurkan satu bola di papan.,Rombolj le egy labdát a táblán., Distruggi una pallina sulla tavola.,ボード上のボールを一つ破壊します。,보드의 한 공을 파괴하세요.,Musnahkan satu bola di papan.,Zniszcz jedną piłkę na planszy.,Destrua uma bola no tabuleiro.,Distrugți o minge pe tablă.,Уничтожьте шар на доске.,Destruir una bola en el tablero.,ทำลายลูกบอลหนึ่งบนกระดาน.,Tahtadaki bir topu yok edin.,Phá hủy một quả bóng trên bảng.
powerup_hammer_ingame_desc,حدد كرة لتدميرها.,選擇一個球進行摧毀。,Vyberte míček k zničení.,Select a ball to destroy.,Sélectionnez une balle à détruire.,Wählen Sie eine Kugel zum Zerstören aus.,Pilih satu bola untuk dihancurkan.,Válasszon egy labdát a megsemmisítéshez.,Seleziona una pallina da distruggere.,破壊するボールを選択してください,파괴할 공을 선택하세요.,Pilih satu bola untuk dimusnahkan.,Wybierz piłkę do zniszczenia.,Selecione uma bola para destruir.,Selectați o minge de distrus.,Выберите шар для уничтожения.,Selecciona una bola para destruir.,เลือกลูกบอลหนึ่งเพื่อทำลาย.,Yok edilecek topu seçin,Chọn một quả bóng để phá hủy.
powerup_tileswap_ingame_desc, حدد كرتين لتبديل مواقعهما.,選擇兩個球以交換它們的位置。,"Vyberte dvě míčky, abyste vyměnili jejich pozice.",Select two balls to swap their positions,Sélectionnez deux balles pour échanger leurs positions.,"Wählen Sie zwei Bälle aus, um ihre Positionen zu tauschen.",Pilih dua bola untuk menukar posisi mereka.,"Válasszon ki két labdát, hogy cserélje meg őket.",Seleziona due palline per scambiare le loro posizioni.,2つのボールを選択して位置を交換します。,두 공을 선택하여 위치를 바꿉니다.,Pilih dua bola untuk menukar posisi mereka.,"Wybierz dwie piłki, aby zamienić ich pozycje.",Selecione duas bolas para trocar suas posições.,Selectați două bile pentru a le schimba pozițiile.,"Выберите два шара, чтобы поменять их местами.",Selecciona dos bolas para intercambiar sus posiciones.,เลือกลูกบอลสองลูกเพื่อสลับตำแหน่งของพวงมาลัย.,Değiştirmek için 2 top seçin,Chọn hai quả bóng để hoán đổi vị trí của chúng.
wonderful,رائع!,好極了！,SKVĚLE!,WONDERFUL!,MAGNIFIQUE !,WUNDERBAR!,HEBAT!,NAGYSZERŰ!,FANTASTICO!,素晴らしい！,훌륭해요!,MENAKJUBKAN!,WSPANIALE!,ÓTIMO!,MINUNAT!,ПОТРЯСАЮЩЕ!,¡MARAVILLOSO!,ยอดเยี่ยม!,HARİKA!,TUYỆT DIỆU!
popup_tileunlock_description,قم فتح رقم جديد!,已解鎖新方塊！,BYL ODEMČEN NOVÝ BLOK!,NEW BLOCK UNLOCKED!,Nouveau bloc débloqué!,NEUER BLOCK FREIGESCHALTET!,BLOK BARU TERBUKA!,Új számot oldottál fel:,NUOVO TASSELLO SBLOCCATO!,新しいブロックへのアクセス解除！,새로운 블록 잠금 해제!,BLOK BAHARU DIBUKA KUNCI!,ODBLOKOWANO NOWE POLE!,NOVO BLOCO DISPONÍVEL!,CĂSUȚĂ NOUĂ DEBLOCATĂ!,РАЗБЛОКИРОВАН НОВЫЙ КУБИК!,¡NUEVO BLOQUE DESBLOQUEADO!,ปลดล็อกบล็อกใหม่แล้ว!,YENİ BLOK AÇILDI!,MỞ KHÓA Ô SỐ MỚI
reward,جائزة,獎勵,Odměna,Reward,Récompense,Belohnung,Hadiah,Jutalom,Ricompensa,報酬,보상,Ganjaran,Nagroda,Recompensa,Recompensă,Награда,Recompensa,รางวัล,Ödül,Phần thưởng
claim,احصل على,領取,Vyzvednout,Claim,Obtenir,Erhalte,Klaim,Begyűjtés,Riscuoti,もらう,요구,Ganjaran,Odbierz,Obter,Obține,Забрать,Obtener,รับ,Topla,Nhận
no_thanks,ًلا شكرا,跳過,"Ne, díky","No, Thanks","Non, merci",Nein Danke,"Tidak, terima kasih",Mégse,"No, grazie",結構です,괜찮습니다.,"Tidak, Terima Kasih","Nie, dziękuję","Não, obrigado",Nu doresc,"Нет, спасибо","No, gracias",ไม่ ขอบคุณ,"Hayır, Teşekkürler.","Không, cám ơn"
splendid,رائع,出色,VÝBORNĚ,SPLENDID,SPLENDIDE,VORZÜGLICH,MANTAP,PAZAR!,MERAVIGLIOSO,素晴らしい,멋져요!,HEBAT,ZNAKOMICIE,ESPLÊNDIDO,SPLENDID,ПРЕВОСХОДНО,ESPLÉNDIDO,วิเศษ,MÜKEMMEL!,TUYỆT ĐỈNH
popup_tileadd_description,تمت إضافة رقم جديد,已添加新方塊,BYL PŘIDÁN NOVÝ BLOK,NEW BLOCK ADDED,NOUVEAU BLOC AJOUTÉ,NEUER BLOCK HINZUGEFÜGT,BLOK BARU DITAMBAHKAN,Új szám került a táblára:,NUOVO TASSELLO AGGIUNTO,新しいブロックが追加されました,새로운 블록 추가,BLOK BAHARU DITAMBAH,DODANO NOWE POLE,NOVO BLOCO ADICIONADO,CĂSUȚĂ NOUĂ ADĂUGATĂ,ДОБАВЛЕН НОВЫЙ КУБИК,NUEVO BLOQUE AÑADIDO,เพิ่มบล็อกใหม่แล้ว,YENİ BLOK EKLENDİ!,ĐÃ THÊM Ô SỐ MỚI
next,التالي,下一關,Další,Next,Suivant,WEITER,Berikutnya,Következő,Successivo,次へ,다음,Seterusnya,Następne,PRÓXIMO,Mai departe,Далее,Siguiente,ถัดไป,Sonraki,Tiếp
ok,نعم,OK,OK,Ok,OK,OK,Oke,Oké,OK,Ok,확인,Ok,OK,OK,Ok,ОК,OK,ตกลง,Tamam,ОК
popup_tileeliminate_description,الكرة مُزالة,球體消除,MÍČ ODSTRANĚN,BALL ELIMINATED,BALLE ÉLIMINÉE,BALL ENTFERNT,BOLA DIHILANGKAN,LABDA MEGSZŰNT,PALLA ELIMINATA,ボール削除,공 제거됨,BOLA DIHAPUSKAN,PIŁKA USUNIĘTA,BOLA ELIMINADA,MINGEA ELIMINATĂ,МЯЧ УДАЛЕН,BOLA ELIMINADA,ลูกบอลถูกกำจัด,TOP ELENDİ,BÓNG ĐÃ LOẠI BỎ
congrats,مبروك!,成功！,Gratulujeme!,Congrats!,Félicitations !,Gratulation!,Selamat!,EZ IGEN!,Complimenti!,おめでとう！,축하해요!,Tahniah!,Gratulacje!,Parabéns!,Felicitări!,Поздравляем!,¡Felicidades!,ยินดีด้วย!,Tebrikler!,Xin chúc mừng!
daily_reward,مكافأة اليومية,每日獎勵,DENNÍ ODMĚNA,DAILY REWARD,RÉCOMPENSE DU JOUR,TÄGLICHE BELOHNUNG,HADIAH HARIAN,NAPI JUTALOM,RICOMPENSA GIORNALIERA,デイリー報酬,일일 선물,GANJARAN HARIAN,NAGRODA DNIA,Presente Diário,RECOMPENSĂ ZILNICĂ,НАГРАДА ДНЯ,RECOMPENSA DIARIA,รางวัลรายวัน,GÜNLÜK ÖDÜL,QUÀ TẶNG HÀNG NGÀY
popup_dailygift_description,سيؤدي تفويت يوم واحد إلى العودة إلى بداية المكافآت,若錯過每日登入，獎勵進度將被重置。,"Pokud vynecháš den, tvůj postup se vymaže.",Missing a day will reset the reward progress.,La progression est réinitialisée si vous manquez un jour.,"Wenn du einen Tag verpasst, wird der Fortschritt zurückgesetzt.",Melewatkan sehari akan menghilangkan progres hadiahmu.,"Lépj be minden nap, hogy ne szakadjon meg a szériád.",Saltare un giorno causerà l'azzeramento dei progressi della ricompensa.,プレイしない日があると、報酬の進捗状況はリセットされます。,하루를 놓치면 보상 진행 상황이 초기화됩니다.,Terlepas sehari akan menetapkan semula kemajuan ganjaran.,"Jeśli opuścisz dzień, stracisz możliwość odebrania kolejnej nagrody.",Perder um dia reiniciará o progresso de recompensas,"Dacă ratezi o zi, progresul recompenselor va fi resetat.","Прогресс наград будет сброшен, если пропустить хоть один день.",Perder un día reiniciará el progreso de recompensas.,หากคุณหายไปหนึ่งวันจะรีเซ็ตความคืบหน้ารางวัล,Gün atladığınızda ödül ilerlemeniz başa dönecektir.,Mất một ngày sẽ khiến tiến độ phần thưởng trở về mốc khởi đầu.
double_it,ضاعفها!,加倍！,ZDVOJNÁSOBIT,DOUBLE IT!,DOUBLER !,VERDOPPLE ES!,DOBEL!,Duplázzuk meg!,RADDOPPIALA!,倍にする！,두배 더!,GANDAKANNYA!,PODWÓJ!,DOBRAR!,DUBLEAZĂ!,УДВОИТЬ!,¡DUPLÍCALO!,เพิ่มสองเท่า!,İKİYE KATLA!,NHÂN ĐÔI
claim_it,احصل عليه,領取,Vybrat,Claim It,Obtenir,Einfordern,Klaim,Ide vele!,Riscuotila,もらう,요구,Tuntut,Odbierz,Obter,Obține,Забрать,Obtener,รับรางวัล,Topla,Nhận
shop,المتجر,商店,Obchod,Shop,Magasin,Laden,Toko,Bolt,Negozio,ショップ,가게,Kedai,Sklep,Loja,Magazin,Магазин,Tienda,ร้านค้า,Mağaza,Cửa hàng
restore_purchases,استعادة المشتريات,回復購買,Obnovit nákupy,Restore Purchases,Récupérer les achats,Käufe wiederherstellen,Pulihkan Pembelian,Vásárlások visszaállítása,Ripristina acquisti,購入を復元,구매 복원,Pulihkan Pembelian,Przywróć zakupy,Restaurar compras,Restabilește achizițiile,Восстановить покупки,Restaurar compras,เรียกคืนการสั่งซื้อ,Alınanları Geri Yükle,Khôi phục mua hàng
shop_ad_free,إعلان مجاني,移除廣告,Bez reklam,Ad Free,Sans pubs,Ohne Werbung,Tanpa Iklan,Hirdetésmentesség,Senza annunci,広告なし,광고 없음,Tanpa Iklan,Bez reklam,Eliminar Anúncios,Fără reclame,Без рекламы,Libre de anuncios,ไม่มีโฆษณา,Reklamsız,Không có quảng cáo
earn_gems,اكسب الجواهر,獎勵寶石,ZÍSKEJ DRAHOKAMY,EARN GEMS,GAGNEZ DES GEMMES,VERDIENE EDELSTEINE,DAPATKAN PERMATA,SZEREZZ GYÉMÁNTOKAT!,GUADAGNA GEMME,宝石集め,보석 획득,PEROLEH PERMATA,ZDOBĄDŹ KLEJNOTY,GANHE GEMAS,OBȚINE DIAMANTE,ПОЛУЧИТЬ САМОЦВЕТЫ,GANA GEMAS,รับเพชร,Elmas Kazan,KIẾM ĐÁ QUÝ
popup_shop_return_rewarded_desc,شاهد الإعلان للفوز بالجواهر,觀看廣告來獲得寶石,ZHLÉDNI REKLAMU A VYHRAJ DRAHOKAMY,WATCH AD TO WIN GEMS,REGARDEZ UNE PUB POUR GAGNER DES GEMMES,WERBUNG ANSEHEN UM EDELSTEINE ZU VERDIENEN,TONTON IKLAN UNTUK MENDAPATKAN PERMATA,Nézz meg egy hirdetést gyémántokért cserébe.,GUARDA ANNUNCI PER VINCERE GEMME,広告を見て宝石を獲得,보석을 얻으려면 광고를 시청하세요.,TONTON IKLAN UNTUK MEMENANGI PERMATA,ZDOBĄDŹ KLEJNOTY ZA REKLAMĘ,ASSISTA UM ANÚNCIO PARA GANHAR GEMAS,URMĂREȘTE RECLAMA CA SĂ OBȚII DIAMANTE,"ПОСМОТРИТЕ РЕКЛАМУ, ЧТОБЫ ПОЛУЧИТЬ САМОЦВЕТЫ",MIRA ANUNCIOS PARA GANAR GEMAS,ชมโฆษณาเพื่อรับเพชร,ELMAS KAZANMAK İÇİN İZLE,XEM QUẢNG CÁO ĐỂ NHẬN ĐÁ QUÝ
ste,متوقف مؤقتًا,已暫停,Pozastaveno,Paused,En pause,Pausiert,Pause,A JÁTÉK SZÜNETEL,In pausa,一時停止,일시중지,Dijeda,Gra wstrzymana,Pausado,PAUZĂ,На паузе,EN PAUSA,หยุดพัก,Duraklatıldı,Tạm dừng
are_you_sure,هل أنت متأكد؟,確認？,OPRAVDU?,ARE YOU SURE?,VRAIMENT ?,BIST DU SICHER?,KAMU YAKIN?,JÓL ÁTGONDOLTAD?,CONFERMI?,よろしいですか？,확실합니까?,ANDA PASTI?,NA PEWNO?,TEM CERTEZA?,EȘTI SIGUR?,ВЫ УВЕРЕНЫ?,¿TIENES CERTEZA?,คุณแน่ใจหรือไม่?,EMİN MİSİN?,BẠN CHẮC CHỨ?
popup_quit_desc,هل تريد الانسحاب من اللعبة؟,你確定要離開遊戲嗎？,Opravdu chceš hru ukončit?,Do you want to quit from the game?,Voulez-vous quitter le jeu ?,Möchtest du das Spiel verlassen?,Kamu ingin mengakhiri permainan?,Biztosan ki szeretnél lépni a játékból?,Vuoi uscire dal gioco?,ゲームを中止しますか？,게임을 종료하시겠습니까?,Adakah anda mahu berhenti daripada permainan?,Chcesz zakończyć grę?,Você quer sair?,Vrei să părăsești jocul?,Хотите выйти из игры?,¿Quieres salir del juego?,คุุณต้องการออกจากเกมใช่ไหม?,Oyundan çıkmak istediğine emin misin?,Bạn muốn thoát khỏi trò chơi?
yes,نعم,是,ANO,YES,OUI,JA,YA,Igen,SÌ,はい,예,YA,TAK,Sim,DA,ДА,Sí,ใช่,EVET,ĐÚNG
no,لا,否,NE,NO,NON,NEIN ,TIDAK,Nem,NO,いいえ,아니오,TIDAK,NIE,NÃO,NU,НЕТ,NO,ไม่,HAYIR,KHÔNG
popup_reset_progress_desc,سيؤدي هذا إلى إعادة لعبتك الحالية والنتيجة إلى الصفر.,重置當前的遊戲進度與分數。,Tímto restartuješ svoji aktuální hru a tvoje skóre bude nastaveno na nulu.,This will reset your current game and score to zero.,Votre partie et votre score seront réinitialisés.,Dadurch wird dein laufendes Spiel und deine Punktzahl auf 0 zurückgesetzt.,Progres permainan akan hilang dan skormu kembali menjadi nol.,Ezzel a tábla tartalma és az eddig elért eredményed visszaáll.,Quest'azione azzererà la partita corrente e il tuo punteggio.,現在のゲームはリセットされ、スコアがゼロになります。,현재 게임과 점수가 0으로 재설정됩니다.,Ini akan menetapkan semula permainan semasa anda dan skor kepada sifar.,Zresetujesz grę i swój wynik.,Isso vai resetar seu jogo atual e pontuação para zero.,Jocul curent va fi resetat iar scorul va ajunge la zero.,"Текущая игра будет сброшена, а счет — обнулен.",Esto reinicará la partida y tu puntaje volverá a cero.,เมื่อยืนยันแล้วจะรีเซ็ตเกมปัจจุบันและมีคะแนนเป็นศูนย์,Mevcut oyununuzu ve puanınızı sıfırlanır.,Thao tác này sẽ cài đặt lại ván chơi hiện tại của bạn và đưa điểm về 0.
ad_break,استراحة اعلان!,廣告時間！,REKLAMNÍ PŘESTÁVKA!,AD BREAK!,COUPURE PUB !,WERBEPAUSE!,JEDA IKLAN!,HIRDETÉS A LÁTHATÁRON!,PAUSA ANNUNCIO!,広告で休憩！,광고 휴식!,REHAT IKLAN!,PRZERWA NA REKLAMĘ!,PAUSA PARA ANÚNCIO!,PAUZĂ DE RECLAMĂ!,РЕКЛАМА!,¡PAUSA PUBLICITARIA!,พักชมโฆษณา,REKLAM ARASI!,QUẢNG CÁO GIẢI LAO!
out_of_moves,نفذ المساحة,空間不足,NEDOSTATEK PROSTORU,OUT OF SPACE,PLUS D'ESPACE DISPONIBLE,KEIN SPEICHERPLATZ MEHR,KEHABISAN RUANG,NINCS ELÉG HELY,SPAZIO ESAURITO,スペース切れ,공간 부족,HABIS TEMPAT,BRAK MIEJSCA,SEM ESPAÇO,FĂRĂ SPAȚIU DISPONIBIL,НЕТ МЕСТА,SIN ESPACIO,พื้นที่ไม่เพียงพอ,ALAN KALMADI,HẾT KHÔNG GIAN
popup_out_of_move_desc,الاستمرار في اللعب؟,繼續？,Chceš pokračovat ve hraní?,Keep Playing?,Continuer à jouer ?,Weiterspielen?,Terus bermain?,Folytatod a játékot?,Vuoi continuare a giocare?,プレイし続けますか？,계속 하시겠습니까?,Teruskan Bermain?,Grasz dalej?,Continuar jogando?,Vrei să continui jocul?,Продолжить игру?,¿Continuar jugando?,เล่นต่อ?,Oynamaya Devam?,Tiếp tục chơi?
welcome,مرحباً,歡迎！,VÍTEJ,WELCOME,BIENVENUE,Herzlich willkommen!,Selamat datang!,SZIA!,TI DIAMO IL BENVENUTO!,ようこそ,환영합니다!,SELAMAT DATANG,WITAMY,Olá!,BINE AI VENIT,ДОБРО ПОЖАЛОВАТЬ,¡TE DAMOS LA BIENVENIDA!,ยินดีต้อนรับ!,Merhaba!,XIN CHÀO!
